"","group.id","COMMON.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","PROTOCOL.TYPE","DURATION.MINUTES","ALL.SPECIES.REPORTED","EFFORT.DISTANCE.KM","NUMBER.OBSERVERS"
"76","S52171548","Common Hawk-Cuckoo","1",9.526328,77.26162,"01-25-2019","04:17 PM","eBird - Traveling Count",15,1,0.328,3
"77","S52220665","Common House-Martin (Northern House-Martin)","2",9.2933127,77.3595281,"01-24-2019","08:29 AM","eBird - Traveling Count",490,1,13.599,4
"78","S52173172","Common Iora","1",9.532249,77.266066,"01-26-2019","08:25 AM","eBird - Traveling Count",15,1,0.629,3
"79","S52172276","Common Kingfisher (Small Blue Kingfisher)","1",9.531157,77.258926,"01-26-2019","02:32 PM","eBird - Traveling Count",15,1,0.362,2
"80","S52171530","Common Myna","2",9.526373,77.261676,"01-25-2019","04:02 PM","eBird - Stationary Count",15,1,NA,3
"81","S52127098","Common Rosefinch","3",9.446759,77.260511,"01-28-2019","08:52 AM","eBird - Traveling Count",15,1,0.05,2
"82","S52155281","Common Sandpiper","1",9.509989,77.262391,"01-27-2019","01:02 PM","eBird - Traveling Count",15,1,2.231,6
"83","S52173141","Common Tailorbird","2",9.533464,77.277182,"01-26-2019","09:55 AM","eBird - Traveling Count",15,1,0.213,2
"84","S49619943","Common Woodshrike","1",9.5243833,77.2555833,"05-13-2018","10:15 AM","eBird - Traveling Count",15,1,0.201,6
"85","S52094759","Common/Stejneger's Stonechat (Siberian/Stejneger's Stonechat)","1",9.4693141,77.0921001,"01-27-2019","07:45 AM","eBird - Traveling Count",15,1,0.129,2
"86","S52161360","Coppersmith Barbet","1",9.532737,77.267224,"01-25-2019","11:51 AM","eBird - Traveling Count",15,1,0.5,2
"87","S52094233","cormorant sp.","100",9.5422734,77.1890889,"01-25-2019","05:30 PM","eBird - Traveling Count",15,1,0.113,2
"88","S52094876","coucal sp.","1",9.5909974,77.299792,"01-25-2019","07:00 AM","eBird - Traveling Count",231,1,3,2
"89","S52127208","Crested Goshawk","1",9.5858808,77.295823,"01-25-2019","09:21 AM","eBird - Traveling Count",15,1,0.58,2
"90","S52160039","Crested Hawk-Eagle","1",9.3453948,77.2575062,"01-26-2019","09:20 AM","eBird - Traveling Count",15,1,0.097,2
"91","S52155174","Crested Serpent-Eagle","1",9.5286,77.23606,"01-27-2019","02:19 PM","eBird - Traveling Count",15,1,2.874,7
"92","S52171794","Crested Treeswift","1",9.499414,77.262818,"01-27-2019","12:47 PM","eBird - Traveling Count",15,1,1.192,5
"93","S52173172","Crimson-backed Sunbird (Small Sunbird)","2",9.532249,77.266066,"01-26-2019","08:25 AM","eBird - Traveling Count",15,1,0.629,3
"94","S49634270","cuckooshrike sp.","1",9.5099444,77.0854722,"05-13-2018","09:00 AM","eBird - Traveling Count",15,1,0.201,4
"95","S52159999","Dark-fronted Babbler","4",9.3021868,77.2751108,"01-25-2019","09:15 AM","eBird - Traveling Count",15,1,0.08,2
"96","S52278488","Dicaeum sp.","2",9.4785111,77.185425,"01-26-2019","08:45 AM","eBird - Traveling Count",20,1,0.2,3
"97","S52278471","diurnal raptor sp.","1",9.528955,77.182842,"01-27-2019","02:51 PM","eBird - Traveling Count",15,1,2.855,7
"98","S52171808","drongo sp.","1",9.499482,77.262744,"01-27-2019","12:16 PM","eBird - Stationary Count",16,1,NA,2
"99","S52126196","Dusky Crag-Martin","3",9.5327348,77.1481419,"01-24-2019","05:17 PM","eBird - Traveling Count",15,1,0.5,3
"100","S52161394","eagle sp.","1",9.529624,77.260131,"01-25-2019","03:13 PM","eBird - Traveling Count",15,1,0.28,2
"101","S52220645","Eurasian Collared-Dove","1",9.2919977,77.3604975,"01-24-2019","07:26 AM","eBird - Casual Observation",NA,0,NA,4
"102","S52094076","Eurasian Hoopoe","1",9.4646763,77.0911344,"01-27-2019","09:56 AM","eBird - Casual Observation",NA,0,NA,2
"103","S52166372","Eurasian Kestrel (Common Kestrel)","1",9.4838555,77.0827007,"01-26-2019","09:05 AM","eBird - Traveling Count",15,1,1.609,2
"104","S52626285","Eurasian Sparrowhawk","1",9.5070822,77.2803363,"01-26-2019","10:00 AM","eBird - Traveling Count",15,1,0.193,2
"105","S52191955","falcon sp.","1",9.4951418,77.3615075,"01-27-2019","06:20 PM","eBird - Stationary Count",15,1,NA,2
"106","S52127114","Flame-throated Bulbul (Ruby-throated Bulbul)","2",9.446759,77.260511,"01-28-2019","08:18 AM","eBird - Traveling Count",13,1,0.1,2
"107","S49634014","flameback sp.","2",9.4585,76.968333,"05-12-2018","06:30 AM","eBird - Traveling Count",15,1,0.201,2
"108","S52161352","flowerpecker sp.","1",9.534279,77.271745,"01-25-2019","11:36 AM","eBird - Traveling Count",15,1,0.697,3
"109","S49619999","flycatcher sp. (Tyrannidae sp.)","2",9.5658,77.1927,"05-13-2018","08:00 AM","eBird - Traveling Count",15,1,0.201,3
"110","S52094862","Forest Wagtail","2",9.4187677,77.0485074,"01-26-2019","10:06 AM","eBird - Traveling Count",15,1,1.545,3
"111","S52131692","Fork-tailed Drongo-Cuckoo","1",9.4261868,77.0418263,"01-26-2019","08:27 AM","eBird - Traveling Count",15,1,0.34,3
"112","S52127073","Golden-fronted Leafbird (Golden-fronted Chloropsis)","1",9.534802,77.272968,"01-26-2019","08:55 AM","eBird - Traveling Count",15,1,0.494,3
"113","S52094076","Golden-headed Cisticola (Bright-headed Cisticola)","1",9.4646763,77.0911344,"01-27-2019","09:56 AM","eBird - Casual Observation",NA,0,NA,2
"114","S52171808","Great Cormorant","1",9.499482,77.262744,"01-27-2019","12:16 PM","eBird - Stationary Count",16,1,NA,2
"115","S52173278","Great Eared-Nightjar","3",9.532856,77.260693,"01-26-2019","05:46 AM","eBird - Stationary Count",15,1,NA,2
"116","S52155281","Great Egret","1",9.509989,77.262391,"01-27-2019","01:02 PM","eBird - Traveling Count",15,1,2.231,6
"117","S52220665","Great Grey Shrike (Indian)","1",9.2933127,77.3595281,"01-24-2019","08:29 AM","eBird - Traveling Count",490,1,13.599,4
"118","S52094110","Great Hornbill (Great Pied Hornbill)","1",9.45562,77.0661504,"01-25-2019","08:36 AM","eBird - Traveling Count",15,1,0.097,2
"119","S52160556","Great/Intermediate Egret","1",9.5333333,77.1666667,"01-25-2019","09:45 AM","eBird - Traveling Count",15,1,0.3,2
"120","S52171480","Greater Coucal","1",9.526457,77.261596,"01-25-2019","03:45 PM","eBird - Stationary Count",15,1,NA,2
"121","S52278517","Greater Coucal (Southern)","1",9.4781833,77.1858222,"01-26-2019","09:29 AM","eBird - Traveling Count",15,1,0.15,3
"122","S52172200","Greater Flameback","1",9.568454,77.264416,"01-26-2019","04:00 PM","eBird - Traveling Count",15,1,0.374,2
"123","S52094110","Greater Racket-tailed Drongo","1",9.45562,77.0661504,"01-25-2019","08:36 AM","eBird - Traveling Count",15,1,0.097,2
"124","S52131806","Greater/Common Flameback","1",9.4234574,77.0424331,"01-26-2019","08:43 AM","eBird - Traveling Count",15,1,0.28,3
"125","S49633769","Green Bee-eater","1",9.5969397,77.1757538,"05-13-2018","06:55 AM","eBird - Traveling Count",15,1,0.201,4
"126","S52163597","Green Imperial-Pigeon","8",9.49902,77.1831,"01-27-2019","07:30 AM","eBird - Traveling Count",90,1,1.5,2
"127","S52160576","Green Imperial-Pigeon (Green)","1",9.5767411,77.1308557,"01-25-2019","04:49 PM","eBird - Stationary Count",66,1,NA,2
"128","S52094853","Green Sandpiper","1",9.4169176,77.0587184,"01-26-2019","10:48 AM","eBird - Traveling Count",15,1,0.322,3
"129","S52172798","Green Warbler","2",9.530308,77.257662,"01-26-2019","02:17 PM","eBird - Traveling Count",15,1,0.463,2
"130","S52173157","Green/Greenish Warbler","2",9.534282,77.276738,"01-26-2019","09:40 AM","eBird - Traveling Count",15,1,0.412,3
"131","S52094110","Greenish Warbler","2",9.45562,77.0661504,"01-25-2019","08:36 AM","eBird - Traveling Count",15,1,0.097,2
"132","S52155126","Grey-breasted Prinia","1",9.536585,77.160177,"01-27-2019","03:06 PM","eBird - Traveling Count",15,1,2.379,8
"133","S52173172","Grey-fronted Green-Pigeon (Pompadour Green-Pigeon)","4",9.532249,77.266066,"01-26-2019","08:25 AM","eBird - Traveling Count",15,1,0.629,3
"134","S52127096","Grey-headed Bulbul","4",9.446759,77.260511,"01-28-2019","09:07 AM","eBird - Traveling Count",15,1,0.05,2
"135","S52159999","Grey-headed Canary-Flycatcher","2",9.3021868,77.2751108,"01-25-2019","09:15 AM","eBird - Traveling Count",15,1,0.08,2
"136","S52094597","Grey-headed Fish-Eagle","1",9.4354303,77.1656513,"01-26-2019","08:00 AM","eBird - Traveling Count",15,1,0.2,2
"137","S52220645","Grey Francolin","1",9.2919977,77.3604975,"01-24-2019","07:26 AM","eBird - Casual Observation",NA,0,NA,4
"138","S52155174","Grey Heron","1",9.5286,77.23606,"01-27-2019","02:19 PM","eBird - Traveling Count",15,1,2.874,7
"139","S52155281","Grey Junglefowl","2",9.509989,77.262391,"01-27-2019","01:02 PM","eBird - Traveling Count",15,1,2.231,6
