"GLOBAL.UNIQUE.IDENTIFIER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","OBSERVATION.COUNT","STATE","COUNTY","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","DURATION.MINUTES","EFFORT.DISTANCE.KM","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","group.id","month","day","daym","cyear","year"
"URN:CornellLabOfOrnithology:EBIRD:OBS373332333","species","Ashy Woodswallow","Artamus fuscus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:45:00","obsr535869","S27502375","Stationary",16,NA,6,1,"G1601219",0,1,0,"G1601219",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373460308","species","Ashy Woodswallow","Artamus fuscus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:45:00","obsr690939","S27513297","Stationary",16,NA,6,1,"G1601219",0,1,0,"G1601219",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374039202","species","Ashy Woodswallow","Artamus fuscus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:42:00","obsr690941","S27567615","Stationary",20,NA,7,1,"G1603391",0,1,0,"G1603391",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373452230","species","Ashy Woodswallow","Artamus fuscus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:52:00","obsr690941","S27512628","Stationary",15,NA,8,1,"G1599470",0,1,0,"G1599470",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374025837","species","Ashy Woodswallow","Artamus fuscus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:42:00","obsr690939","S27566376","Stationary",20,NA,7,1,"G1603391",0,1,0,"G1603391",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373107248","species","Ashy Woodswallow","Artamus fuscus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:52:00","obsr672706","S27482518","Stationary",15,NA,8,1,"G1599470",0,1,0,"G1599470",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373460505","species","Ashy Woodswallow","Artamus fuscus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:52:00","obsr690939","S27513313","Stationary",15,NA,8,1,"G1599470",0,1,0,"G1599470",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374910287","species","Ashy Woodswallow","Artamus fuscus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:42:00","obsr672706","S27648226","Stationary",20,NA,7,1,"G1603391",0,1,0,"G1603391",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373107280","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"07:09:00","obsr672706","S27482523","Traveling",27,0.15,8,1,"G1599471",0,1,0,"G1599471",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373460307","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:45:00","obsr690939","S27513297","Stationary",16,NA,6,1,"G1601219",0,1,0,"G1601219",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374910279","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:42:00","obsr672706","S27648226","Stationary",20,NA,7,1,"G1603391",0,1,0,"G1603391",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374039194","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:42:00","obsr690941","S27567615","Stationary",20,NA,7,1,"G1603391",0,1,0,"G1603391",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373279899","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"08:06:00","obsr699757","S27498154","Traveling",22,0.1,8,1,"G1599473",0,1,0,"G1599473",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373460264","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"07:11:00","obsr690939","S27513292","Stationary",24,NA,6,1,"G1601221",0,1,0,"G1601221",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374542920","species","Asian Koel","Eudynamys scolopaceus","3","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:38:00","obsr699757","S27616792","Traveling",24,0.1,8,1,"G1605253",0,1,0,"G1605253",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS375514910","species","Asian Koel","Eudynamys scolopaceus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:55:00","obsr690932","S27697232","Traveling",15,0.2,10,1,"G1603584",0,1,0,"G1603584",2,43,12,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373433523","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:22:00","obsr535869","S27510993","Stationary",25,NA,12,1,"G1601298",0,1,0,"G1601298",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS372916081","species","Asian Koel","Eudynamys scolopaceus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"07:40:00","obsr535869","S27465130","Traveling",23,0.069,8,1,"G1599472",0,1,0,"G1599472",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS372922716","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"08:06:00","obsr535869","S27465705","Traveling",22,0.1,8,1,"G1599473",0,1,0,"G1599473",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373460468","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"07:09:00","obsr690939","S27513311","Traveling",27,0.15,8,1,"G1599471",0,1,0,"G1599471",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS372908964","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"07:09:00","obsr535869","S27464435","Traveling",27,0.15,8,1,"G1599471",0,1,0,"G1599471",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374025870","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:22:00","obsr690939","S27566379","Stationary",25,NA,12,1,"G1601298",0,1,0,"G1601298",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374016826","species","Asian Koel","Eudynamys scolopaceus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:55:00","obsr550321","S27565550","Traveling",15,0.2,10,1,"G1603584",0,1,0,"G1603584",2,43,12,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373471595","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:22:00","obsr699757","S27514340","Stationary",25,NA,12,1,"G1601298",0,1,0,"G1601298",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS608385162","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:22:00","obsr690943","S45129690","Stationary",25,NA,12,1,"G1601298",0,1,0,"G1601298",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373856312","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:42:00","obsr535869","S27551402","Stationary",20,NA,7,1,"G1603391",0,1,0,"G1603391",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373280017","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:53:00","obsr699757","S27498163","Traveling",19,0.1,10,1,"G1600239",0,1,0,"G1600239",2,43,12,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374039234","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"07:29:00","obsr690941","S27567620","Traveling",24,0.299,7,1,"G1603390",0,1,0,"G1603390",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373991956","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:16:00","obsr535869","S27563343","Stationary",20,NA,12,1,"G1603644",0,1,0,"G1603644",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373472173","species","Asian Koel","Eudynamys scolopaceus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:02:00","obsr699757","S27514390","Stationary",17,NA,8,1,"G1601305",0,1,0,"G1601305",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373881752","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"07:29:00","obsr535869","S27553517","Traveling",24,0.299,7,1,"G1603390",0,1,0,"G1603390",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS1049501900","species","Asian Koel","Eudynamys scolopaceus","3","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:38:00","obsr701106","S79082036","Traveling",24,0.1,8,1,"G1605253",0,1,0,"G1605253",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373994860","species","Asian Koel","Eudynamys scolopaceus","3","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:38:00","obsr535869","S27563572","Traveling",24,0.1,8,1,"G1605253",0,1,0,"G1605253",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373332332","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:45:00","obsr535869","S27502375","Stationary",16,NA,6,1,"G1601219",0,1,0,"G1601219",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373471925","species","Asian Koel","Eudynamys scolopaceus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:02:00","obsr690941","S27514368","Stationary",17,NA,8,1,"G1601305",0,1,0,"G1601305",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374025829","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:42:00","obsr690939","S27566376","Stationary",20,NA,7,1,"G1603391",0,1,0,"G1603391",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374054058","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:16:00","obsr715123","S27569038","Stationary",20,NA,12,1,"G1603644",0,1,0,"G1603644",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373347100","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"07:11:00","obsr535869","S27503570","Stationary",24,NA,6,1,"G1601221",0,1,0,"G1601221",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS371202514","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"15:20:00","obsr690941","S27327716","Traveling",30,0.5,9,1,"G1588231",0,1,0,"G1588231",2,37,6,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373530308","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:22:00","obsr672706","S27519761","Stationary",25,NA,12,1,"G1601298",0,1,0,"G1601298",2,45,14,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374059002","species","Asian Koel","Eudynamys scolopaceus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"06:55:00","obsr690941","S27569470","Traveling",15,0.2,10,1,"G1603584",0,1,0,"G1603584",2,43,12,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS373279952","species","Asian Koel","Eudynamys scolopaceus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"07:40:00","obsr699757","S27498159","Traveling",23,0.069,8,1,"G1599472",0,1,0,"G1599472",2,44,13,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374025806","species","Asian Koel","Eudynamys scolopaceus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"07:29:00","obsr690939","S27566375","Traveling",24,0.299,7,1,"G1603390",0,1,0,"G1603390",2,46,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS374614682","species","Asian Koel","Eudynamys scolopaceus","3","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:38:00","obsr711584","S27623060","Traveling",24,0.1,8,1,"G1605253",0,1,0,"G1605253",2,46,15,2016,2015
